x,y,val
0.50,0.50,8.36
1.50,0.50,6.21
2.50,0.50,7.15
3.50,0.50,7.70
4.50,0.50,8.10
5.50,0.50,8.61
6.50,0.50,2.26
7.50,0.50,7.46
8.50,0.50,11.31
9.50,0.50,9.94
10.50,0.50,14.45
11.50,0.50,2.24
12.50,0.50,1.74
13.50,0.50,12.08
14.50,0.50,13.78
15.50,0.50,15.21
16.50,0.50,13.85
17.50,0.50,19.05
18.50,0.50,5.92
19.50,0.50,19.95
20.50,0.50,16.89
21.50,0.50,16.98
22.50,0.50,22.68
23.50,0.50,3.46
24.50,0.50,2.80
25.50,0.50,19.26
26.50,0.50,20.57
27.50,0.50,22.04
28.50,0.50,21.43
29.50,0.50,23.23
30.50,0.50,6.16
31.50,0.50,19.69
32.50,0.50,25.69
33.50,0.50,22.68
34.50,0.50,31.39
35.50,0.50,4.83
36.50,0.50,3.69
37.50,0.50,25.39
38.50,0.50,27.24
39.50,0.50,29.75
40.50,0.50,26.59
41.50,0.50,35.76
42.50,0.50,10.97
43.50,0.50,36.46
44.50,0.50,30.18
45.50,0.50,30.17
46.50,0.50,39.47
47.50,0.50,6.01
48.50,0.50,4.79
49.50,0.50,32.82
50.50,0.50,34.06
51.50,0.50,36.34
52.50,0.50,34.78
53.50,0.50,37.84
54.50,0.50,10.06
55.50,0.50,31.92
56.50,0.50,40.07
57.50,0.50,35.42
58.50,0.50,48.34
59.50,0.50,7.43
60.50,0.50,5.64
61.50,0.50,38.70
62.50,0.50,40.70
63.50,0.50,44.28
64.50,0.50,39.32
65.50,0.50,52.48
66.50,0.50,16.02
67.50,0.50,52.98
68.50,0.50,43.48
69.50,0.50,43.35
70.50,0.50,56.26
71.50,0.50,8.55
72.50,0.50,6.78
73.50,0.50,46.40
74.50,0.50,47.56
75.50,0.50,50.65
76.50,0.50,48.15
77.50,0.50,52.39
78.50,0.50,13.93
79.50,0.50,44.02
80.50,0.50,54.48
81.50,0.50,48.14
82.50,0.50,65.29
83.50,0.50,10.02
84.50,0.50,8.01
85.50,0.50,54.36
86.50,0.50,53.67
87.50,0.50,59.03
88.50,0.50,51.97
89.50,0.50,69.23
90.50,0.50,21.08
91.50,0.50,69.49
92.50,0.50,56.77
93.50,0.50,56.54
94.50,0.50,73.05
95.50,0.50,11.10
0.50,1.50,6.59
1.50,1.50,2.63
2.50,1.50,4.40
3.50,1.50,4.94
4.50,1.50,5.94
5.50,1.50,6.13
6.50,1.50,1.58
7.50,1.50,5.51
8.50,1.50,10.26
9.50,1.50,8.97
10.50,1.50,13.76
11.50,1.50,2.14
12.50,1.50,1.69
13.50,1.50,11.90
14.50,1.50,14.36
15.50,1.50,16.01
16.50,1.50,14.80
17.50,1.50,20.71
18.50,1.50,6.50
19.50,1.50,22.15
20.50,1.50,19.07
21.50,1.50,19.25
22.50,1.50,26.10
23.50,1.50,3.99
24.50,1.50,3.25
25.50,1.50,22.48
26.50,1.50,24.46
27.50,1.50,26.27
28.50,1.50,25.82
29.50,1.50,27.90
30.50,1.50,7.39
31.50,1.50,23.73
32.50,1.50,31.68
33.50,1.50,27.95
34.50,1.50,39.00
35.50,1.50,6.01
36.50,1.50,4.60
37.50,1.50,31.73
38.50,1.50,34.41
39.50,1.50,37.65
40.50,1.50,33.78
41.50,1.50,45.62
42.50,1.50,14.03
43.50,1.50,46.75
44.50,1.50,38.87
45.50,1.50,38.90
46.50,1.50,51.11
47.50,1.50,7.78
48.50,1.50,6.22
49.50,1.50,42.69
50.50,1.50,44.57
51.50,1.50,47.59
52.50,1.50,45.70
53.50,1.50,49.68
54.50,1.50,13.20
55.50,1.50,41.95
56.50,1.50,53.11
57.50,1.50,46.93
58.50,1.50,64.25
59.50,1.50,9.88
60.50,1.50,7.51
61.50,1.50,51.56
62.50,1.50,54.47
63.50,1.50,59.30
64.50,1.50,52.75
65.50,1.50,70.53
66.50,1.50,21.55
67.50,1.50,71.36
68.50,1.50,58.68
69.50,1.50,58.55
70.50,1.50,76.12
71.50,1.50,11.57
72.50,1.50,9.19
73.50,1.50,62.91
74.50,1.50,64.67
75.50,1.50,68.90
76.50,1.50,65.61
77.50,1.50,71.36
78.50,1.50,18.97
79.50,1.50,59.99
80.50,1.50,74.58
81.50,1.50,65.88
82.50,1.50,89.51
83.50,1.50,13.74
84.50,1.50,10.99
85.50,1.50,74.59
86.50,1.50,73.85
87.50,1.50,81.26
88.50,1.50,71.60
89.50,1.50,95.48
90.50,1.50,29.09
91.50,1.50,95.96
92.50,1.50,78.49
93.50,1.50,78.19
94.50,1.50,101.13
95.50,1.50,15.37
0.50,2.50,7.54
1.50,2.50,3.22
2.50,2.50,5.24
3.50,2.50,5.90
4.50,2.50,7.06
5.50,2.50,7.30
6.50,2.50,1.88
7.50,2.50,6.56
8.50,2.50,12.17
9.50,2.50,10.65
10.50,2.50,16.31
11.50,2.50,2.54
12.50,2.50,2.00
13.50,2.50,14.10
14.50,2.50,17.00
15.50,2.50,18.95
16.50,2.50,17.52
17.50,2.50,24.52
18.50,2.50,7.70
19.50,2.50,26.21
20.50,2.50,22.56
21.50,2.50,22.78
22.50,2.50,30.87
23.50,2.50,4.72
24.50,2.50,3.84
25.50,2.50,26.58
26.50,2.50,28.92
27.50,2.50,31.07
28.50,2.50,30.52
29.50,2.50,32.99
30.50,2.50,8.74
31.50,2.50,28.06
32.50,2.50,37.45
33.50,2.50,33.04
34.50,2.50,46.10
35.50,2.50,7.10
36.50,2.50,5.43
37.50,2.50,37.50
38.50,2.50,40.67
39.50,2.50,44.50
40.50,2.50,39.91
41.50,2.50,53.91
42.50,2.50,16.58
43.50,2.50,55.24
44.50,2.50,45.93
45.50,2.50,45.96
46.50,2.50,60.39
47.50,2.50,9.19
48.50,2.50,7.35
49.50,2.50,50.43
50.50,2.50,52.65
51.50,2.50,56.22
52.50,2.50,53.98
53.50,2.50,58.68
54.50,2.50,15.60
55.50,2.50,49.56
56.50,2.50,62.73
57.50,2.50,55.43
58.50,2.50,75.89
59.50,2.50,11.66
60.50,2.50,8.87
61.50,2.50,60.90
62.50,2.50,64.33
63.50,2.50,70.04
64.50,2.50,62.30
65.50,2.50,83.30
66.50,2.50,25.46
67.50,2.50,84.28
68.50,2.50,69.30
69.50,2.50,69.15
70.50,2.50,89.90
71.50,2.50,13.67
72.50,2.50,10.85
73.50,2.50,74.29
74.50,2.50,76.37
75.50,2.50,81.36
76.50,2.50,77.48
77.50,2.50,84.27
78.50,2.50,22.40
79.50,2.50,70.85
80.50,2.50,88.07
81.50,2.50,77.80
82.50,2.50,105.69
83.50,2.50,16.23
84.50,2.50,12.97
85.50,2.50,88.08
86.50,2.50,87.20
87.50,2.50,95.95
88.50,2.50,84.54
89.50,2.50,112.74
90.50,2.50,34.35
91.50,2.50,113.31
92.50,2.50,92.68
93.50,2.50,92.33
94.50,2.50,119.41
95.50,2.50,18.14
0.50,3.50,8.53
1.50,3.50,4.30
2.50,3.50,6.24
3.50,3.50,6.93
4.50,3.50,8.02
5.50,3.50,8.34
6.50,3.50,2.16
7.50,3.50,7.43
8.50,3.50,13.12
9.50,3.50,11.49
10.50,3.50,17.40
11.50,3.50,2.71
12.50,3.50,2.13
13.50,3.50,14.94
14.50,3.50,17.81
15.50,3.50,19.81
16.50,3.50,18.26
17.50,3.50,25.46
18.50,3.50,7.98
19.50,3.50,27.12
20.50,3.50,23.26
21.50,3.50,23.47
22.50,3.50,31.73
23.50,3.50,4.85
24.50,3.50,3.94
25.50,3.50,27.25
26.50,3.50,29.55
27.50,3.50,31.72
28.50,3.50,31.11
29.50,3.50,33.64
30.50,3.50,8.91
31.50,3.50,28.60
32.50,3.50,38.01
33.50,3.50,33.54
34.50,3.50,46.73
35.50,3.50,7.20
36.50,3.50,5.51
37.50,3.50,37.98
38.50,3.50,41.11
39.50,3.50,44.96
40.50,3.50,40.31
41.50,3.50,54.40
42.50,3.50,16.72
43.50,3.50,55.70
44.50,3.50,46.28
45.50,3.50,46.30
46.50,3.50,60.79
47.50,3.50,9.25
48.50,3.50,7.39
49.50,3.50,50.73
50.50,3.50,52.91
51.50,3.50,56.49
52.50,3.50,54.21
53.50,3.50,58.94
54.50,3.50,15.67
55.50,3.50,49.77
56.50,3.50,62.91
57.50,3.50,55.59
58.50,3.50,76.07
59.50,3.50,11.69
60.50,3.50,8.88
61.50,3.50,61.01
62.50,3.50,64.41
63.50,3.50,70.12
64.50,3.50,62.35
65.50,3.50,83.34
66.50,3.50,25.47
67.50,3.50,84.29
68.50,3.50,69.29
69.50,3.50,69.13
70.50,3.50,89.85
71.50,3.50,13.66
72.50,3.50,10.84
73.50,3.50,74.22
74.50,3.50,76.27
75.50,3.50,81.24
76.50,3.50,77.34
77.50,3.50,84.13
78.50,3.50,22.36
79.50,3.50,70.72
80.50,3.50,87.85
81.50,3.50,77.61
82.50,3.50,105.41
83.50,3.50,16.18
84.50,3.50,12.94
85.50,3.50,87.83
86.50,3.50,86.92
87.50,3.50,95.63
88.50,3.50,84.25
89.50,3.50,112.33
90.50,3.50,34.23
91.50,3.50,112.87
92.50,3.50,92.30
93.50,3.50,91.95
94.50,3.50,118.90
95.50,3.50,18.06
0.50,4.50,9.37
1.50,4.50,5.44
2.50,4.50,7.24
3.50,4.50,7.97
4.50,4.50,8.94
5.50,4.50,9.37
6.50,4.50,2.43
7.50,4.50,8.27
8.50,4.50,13.97
9.50,4.50,12.25
10.50,4.50,18.34
11.50,4.50,2.85
12.50,4.50,2.23
13.50,4.50,15.63
14.50,4.50,18.42
15.50,4.50,20.45
16.50,4.50,18.80
17.50,4.50,26.12
18.50,4.50,8.17
19.50,4.50,27.70
20.50,4.50,23.69
21.50,4.50,23.88
22.50,4.50,32.18
23.50,4.50,4.92
24.50,4.50,3.99
25.50,4.50,27.57
26.50,4.50,29.78
27.50,4.50,31.96
28.50,4.50,31.28
29.50,4.50,33.84
30.50,4.50,8.97
31.50,4.50,28.75
32.50,4.50,38.05
33.50,4.50,33.58
34.50,4.50,46.71
35.50,4.50,7.19
36.50,4.50,5.50
37.50,4.50,37.92
38.50,4.50,40.96
39.50,4.50,44.79
40.50,4.50,40.12
41.50,4.50,54.11
42.50,4.50,16.62
43.50,4.50,55.35
44.50,4.50,45.95
45.50,4.50,45.96
46.50,4.50,60.30
47.50,4.50,9.18
48.50,4.50,7.33
49.50,4.50,50.28
50.50,4.50,52.38
51.50,4.50,55.92
52.50,4.50,53.63
53.50,4.50,58.31
54.50,4.50,15.50
55.50,4.50,49.23
56.50,4.50,62.13
57.50,4.50,54.90
58.50,4.50,75.09
59.50,4.50,11.54
60.50,4.50,8.77
61.50,4.50,60.21
62.50,4.50,63.51
63.50,4.50,69.12
64.50,4.50,61.45
65.50,4.50,82.11
66.50,4.50,25.08
67.50,4.50,83.01
68.50,4.50,68.21
69.50,4.50,68.04
70.50,4.50,88.41
